index,sample,robustness_spec,v4_specification,shock,regime,regime_label,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,nobs,r_squared,return_lags,control_set
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,15,1.5747609205358175,0.3934063494419644,6.257435598678108e-05,0.8036844756295674,2.3458373654420677,0.08512772877712593,0.3191042280198971,0.7896455448385198,-0.5403165581418723,0.7105720156961242,7254,0.0776066937627895,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,15,-3.009086237101437,0.4248980425730039,1.4218934768808057e-12,-3.841886400544525,-2.1762860736583494,0.1845053036242813,0.2689044548089785,0.49262670267659436,-0.34254742780131653,0.7115580350498791,7254,0.0776066937627895,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,16,-0.2778185796648331,0.18209388952251548,0.12708742359618982,-0.6347226031289634,0.07908544379929727,0.004049132435171473,0.14786555530086598,0.9781535563349549,-0.28576735595452585,0.2938656208248688,7253,0.07120412700093282,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,16,0.4629869231622054,0.26335378212750893,0.07874041926983029,-0.05318648980771207,0.9791603361321228,-0.3708051901582645,0.18744064395213442,0.04790006775317193,-0.738188852304448,-0.0034215280120810654,7253,0.07120412700093282,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,16,-0.15772393711616156,0.361765948620373,0.6628487959721765,-0.8667851964120925,0.5513373221797695,0.2583421891780376,0.3151597063446234,0.4123766962695491,-0.35937083525742436,0.8760552136134996,7253,0.07120412700093282,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,16,1.3501997350471717,0.37833958927689143,0.0003586873082239557,0.6086541400644645,2.091745330029879,0.24211676068862828,0.36335306575914683,0.5051936651718254,-0.47005524819929945,0.9542887695765561,7253,0.07120412700093282,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,16,-2.6692453341394033,0.40156788045937797,2.990075000266395e-11,-3.456318379839784,-1.8821722884390226,-0.06364727332484356,0.3364139825201475,0.849941314456488,-0.7230186790643326,0.5957241324146455,7253,0.07120412700093282,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,17,-0.3515496806698446,0.20434797938975816,0.0853691649273414,-0.7520717202737706,0.04897235893408136,-0.053552050716893514,0.14544427717535782,0.712726838243467,-0.33862283398059484,0.23151873254680783,7252,0.06406493261544055,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,17,0.28722348020325517,0.1926080746298017,0.13590038256978823,-0.09028834607115616,0.6647353064776664,-0.3982545825952964,0.20918858488172487,0.05693539281811207,-0.8082642089634771,0.011755043772884333,7252,0.06406493261544055,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,17,-0.12059306413609117,0.33085094895053935,0.7154894279395745,-0.7690609240791483,0.527874795806966,0.3884858814775647,0.31790060488549454,0.22169413492994006,-0.23459930409800456,1.011571067053134,7252,0.06406493261544055,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,17,0.8155191903851435,0.38052960546973386,0.032103762977644994,0.0696811636644652,1.5613572171058219,-0.07839854963261597,0.3443042512375499,0.819878407469846,-0.7532348820582137,0.5964377827929818,7252,0.06406493261544055,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,17,-2.19742145269965,0.3986704555549289,3.550323759639378e-08,-2.978815545587311,-1.4160273598119892,-0.04542181335149398,0.31878895503115,0.8866989853910943,-0.670248165212548,0.5794045385095601,7252,0.06406493261544055,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,18,-0.3767938208987387,0.21143099423164044,0.07473088532640644,-0.7911985695927539,0.03761092779527658,-0.09208962329840904,0.13896265264903102,0.5075269812493868,-0.3644564224905098,0.18027717589369174,7251,0.057664435392286495,5,ftse100+ftse_all_share
